Adjustment Type,Asset ID,Asset Title,Asset Labels,Asset Channel ID,Asset Type,Custom ID,ISRC,UPC,GRid,Artist,Album,Label,Administer Publish Rights,Owned Views,YouTube Revenue Split : Auction,YouTube Revenue Split : Reserved,YouTube Revenue Split : Partner Sold YouTube Served,YouTube Revenue Split : Partner Sold Partner Served,YouTube Revenue Split,Partner Revenue : Auction,Partner Revenue : Reserved,Partner Revenue : Partner Sold YouTube Served,Partner Revenue : Partner Sold Partner Served,Partner Revenue
None,A957506678733156,Que Cuente Conmigo,,,Sound Recording,193483293486_ARG991027347_29470035,,193483293486,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A958886663398049,El choclo,,,Sound Recording,885686167816_ARG991004433_2980709,,885686167816,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A962968498205366,Yo vengo,,,Sound Recording,196626284297_ARG991035021,ARG991035021,196626284297,,Cristian y Maru,Yo vengo,Magenta,no,4,0,0,0,0,0,0,0,0,0,0
None,A978140501675754,Cuando Estes Con Él,,,Sound Recording,886788848733_ARG991013896_5112525,,886788848733,,,,,no,3,0,0,0,0,0,0,0,0,0,0
None,A979612025854477,Tacos y helados,,,Sound Recording,196626369376_ARG991035058,ARG991035058,196626369376,,Topo Gigio,Topo Gigio,Magenta,no,10,0,0,0,0,0,0,0,0,0,0
None,A996205938954660,Quizás Quizás,,,Sound Recording,,,1963620454181,,Los Dora 2,,,no,459,0,0,0,0,0,0,0,0,0,0
None,A997181611873547,La Loca,,,Sound Recording,,,1963620454181,,Los Dora 2,,,no,460,0,0,0,0,0,0,0,0,0,0
None,Ii_s_zjtf7Y,Soy Cordobes (En Vivo),,,Sound Recording,889845362395_ARG991019696_20399096,,889845362395,,,,,no,6,0,0,0,0,0,0,0,0,0,0
None,SboARUvn1eE,La mano de Dios,,,Sound Recording,885686141519_ARG991003652_2944208,,885686141519,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,fT3XTicstws,Llorarás Por Mi,,,Sound Recording,884385621858_ARG990900191_2376562,,884385621858,,,,,no,1,0,0,0,0,0,0,0,0,0,0
